,image,species,individual_id,whale_dolphin
23496,769c0e19d53924.jpg,blue_whale,69054c51f384,whale
11397,39baf4a4db09dd.jpg,blue_whale,0dc7fcfe4a6a,whale
5049,19489efab37d29.jpg,blue_whale,fe5ee1fcceb5,whale
46371,e94d60cf4aca9f.jpg,blue_whale,b899531f0c89,whale
6653,212590495cc399.jpg,blue_whale,6b97232b6be4,whale
16935,55692051430058.jpg,blue_whale,5fb3342eae0b,whale
30358,98bb3ab5c6259f.jpg,blue_whale,ab80b719d981,whale
30740,9a7e914d5a3005.jpg,blue_whale,c51633e5d108,whale
30618,99ef208fc33127.jpg,blue_whale,c3aa9ae8c6bb,whale
7048,2337865436a7b1.jpg,blue_whale,a0ad4fd411bf,whale
27260,89883adc2d6c44.jpg,blue_whale,baa4ea87556f,whale
28985,91ed6297b173df.jpg,blue_whale,4e2574bf705b,whale
32407,a2f5a0d4861a8c.jpg,blue_whale,53c39d783f11,whale
21999,6eff8b8e46fce6.jpg,blue_whale,dc7a7d593537,whale
27607,8b31f3db4c391c.jpg,blue_whale,493f13ea3913,whale
2518,0cc40303b462a8.jpg,blue_whale,3eeb44d2ecca,whale
6248,1f26dfc6e880e5.jpg,blue_whale,4b8d7bf548a3,whale
47404,ee087f68481e48.jpg,blue_whale,63b0def45e67,whale
5596,1bf2aba2f3514a.jpg,blue_whale,65b0214b065c,whale
41227,cf437aff571368.jpg,blue_whale,66a8f2c15049,whale
20637,68283ad39e184d.jpg,blue_whale,4587a8a3ff26,whale
20323,668757dfacb875.jpg,blue_whale,ec3f1f01403f,whale
22825,73472e360bc896.jpg,blue_whale,3c20cf7a9792,whale
48312,f283f54d0063f6.jpg,blue_whale,83b0d46a21fe,whale
8977,2cec5d0c8adbf1.jpg,blue_whale,68beb270a60c,whale
35963,b48c33bc54227b.jpg,blue_whale,65016ce2f786,whale
9881,31c3faaa7ebf0b.jpg,blue_whale,cc99e4121591,whale
18870,5f28b866604731.jpg,blue_whale,9f4faedb5ffb,whale
17161,567ada2081a46e.jpg,blue_whale,d13bf014ff2d,whale
34650,ae210d7cf6e789.jpg,blue_whale,66096c0cffce,whale
34418,ad05894b331a44.jpg,blue_whale,244a0c9228ba,whale
7052,233b73d0acf4ac.jpg,blue_whale,41a31f3713ff,whale
5791,1ce71f6360ec57.jpg,blue_whale,9e3317b99486,whale
48955,f5b2b69c7d9d9d.jpg,blue_whale,795dcc5686c3,whale
10989,37a0b46bdf9855.jpg,blue_whale,fa902b52625e,whale
26538,85fe646dcdfb66.jpg,blue_whale,a56b48593757,whale
35627,b2e6fa00bab98a.jpg,blue_whale,7508d5b8ff63,whale
12478,3ee8e95ee13e5f.jpg,blue_whale,1a433516385a,whale
9400,2f431457e281fd.jpg,blue_whale,69512a8ba5f4,whale
17432,57ce737ec724f9.jpg,blue_whale,f504e5e940eb,whale
47779,efee17756d8b39.jpg,blue_whale,3d942ef38c97,whale
36463,b72e314300616b.jpg,blue_whale,470aec40db0b,whale
8939,2cca9f6d7276d8.jpg,blue_whale,6e3c4a90e7f9,whale
16679,541d2755c531df.jpg,blue_whale,3db61a67defa,whale
